Title,Abstract,Article URL,date
Molybdenum isotopes in mafic igneous rocks record slabmantle interactions from subarc to postarc depths,"Arc volcanic rocks erupted above oceanic subduction zones generally have heavy molybdenum (Mo) isotopic compositions, which are attributed to contributions from oceanic slab–derived fluids with isotopically heavy Mo at subarc depths. Given that mafic igneous rocks with light Mo isotopic compositions have been rarely identified, it is unclear where light Mo isotope reservoirs reside, as these must exist due to oceanic subduction through geologic time. We present Mo isotope data from Mesozoic–Cenozoic mafic igneous rocks from the eastern North China craton, which were affected by continuous subduction of the oceanic slab. The Mesozoic mafic igneous rocks have island-arc basalt (IAB)–like features and high δ98Mo values of –0.15‰ to +0.09‰. In contrast, the Cenozoic mafic igneous rocks have ocean-island basalt (OIB)–like features and low δ98Mo values of –0.53‰ to –0.19‰. In addition, these two suites of rocks exhibit systematic differences in Sr-Nd isotopic compositions and fluid- and melt-mobile element contents, indicating that their mantle sources contained crustal components derived from different depths. The heavy Mo and weakly enriched Sr-Nd isotopic compositions and IAB-like trace-element signatures were inherited from slab fluids (including oceanic crust–derived aqueous solutions and seafloor sediment–derived hydrous melts) liberated at subarc depths. The light Mo and depleted Sr-Nd isotopic compositions and OIB-like trace-element signatures were inherited from dehydrated slab–derived melts (with rutile breakdown) at postarc depths. Therefore, Mo isotope systematics of mafic igneous rocks are a powerful means with which to trace the geochemical fluxes from subducting oceanic slabs to the mantle wedge at different depths.",https://pubs.geoscienceworld.org/gsa/geology/article/51/1/3/618289/Molybdenum-isotopes-in-mafic-igneous-rocks-record,2023-01-21
Calcitic shells in the aragonite sea of the earliest Cambrian,"The initial acquisition of calcium carbonate polymorphs (aragonite and calcite) at the onset of skeletal biomineralization by disparate metazoans across the Ediacaran-Cambrian transition is thought to be directly influenced by Earth's seawater chemistry. It has been presumed that animal clades that first acquired mineralized skeletons during the so-called “aragonite sea” of the latest Ediacaran and earliest Cambrian (Terreneuvian) possessed aragonite or high-Mg calcite skeletons, while clades that arose in the subsequent “calcite sea” of Cambrian Series 2 acquired low-Mg calcite skeletons. Here, contrary to previous expectations, we document shells of one of the earliest helcionelloid molluscs from the basal Cambrian of southwestern Mongolia that are composed entirely of low-Mg calcite and formed during the Terreneuvian aragonite sea. The extraordinarily well-preserved Postacanthella shells have a simple prismatic microstructure identical to that of their modern low-Mg calcite molluscan relatives. High-resolution scanning electron microscope observations show that calcitic crystallites were originally encased within an intra- and interprismatic organic matrix scaffold preserved by aggregates of apatite during early diagenesis. This indicates that not all molluscan taxa during the early Cambrian produced aragonitic shells, weakening the direct link between carbonate skeletal mineralogy and ambient seawater chemistry during the early evolution of the phylum. Rather, our study suggests that skeletal mineralogy in Postacanthella was biologically controlled, possibly exerted by the associated prismatic organic matrix. The presence of calcite or aragonite mineralogy in different early Cambrian molluscan taxa indicates that the construction of calcium carbonate polymorphs at the time when skeletons first emerged may have been species dependent.",https://pubs.geoscienceworld.org/gsa/geology/article/51/1/8/618719/Calcitic-shells-in-the-aragonite-sea-of-the,2023-01-21
Impact of stream power gradients on storage of sediment and carbon on channel margins and floodplains,"Spatial complexity impacts the resilience of river ecosystems by mediating processes that control the sources and sinks of sediment and organic material. Using four independent geochemical tracers and three morphometric indices, we show that downstream spatial gradients in stream power (Ω) predict storage of material in the channels and margins and/or floodplains. A field test in a 48 km2 watershed demonstrates that reaches with downstream decreases in Ω coincide with wider floodplains and elevated inventories of 137Cs, 210Pbex (ex—excess), and organic matter in locations of the ~3 to 20 yr floodplain. In contrast, reaches with downstream increases in Ω coincide with narrower floodplains and decreased inventories of 137Cs, 210Pbex, and organic matter. The occurrence of in-channel bedrock exposures and the activity of short-lived 7Be in within-channel sediments also correlate with downstream Ω gradients, demonstrating a link, over both short and long time scales, between withinchannel processes and floodplain-forming processes. The combined geochemical and physical characteristics demonstrate the importance of downstream gradients in sediment transport, characterized by downstream changes in stream power rather than at-a-point stream power, in determining spatial complexity in carbon and sediment storage at intermediate scales (102 to 103 m) in river systems.",https://pubs.geoscienceworld.org/gsa/geology/article/51/1/13/618720/Impact-of-stream-power-gradients-on-storage-of,2023-01-21
Climatic influence on the expression of strike-slip faulting,^^^none^^^,https://pubs.geoscienceworld.org/gsa/geology/article/51/1/18/618746/Climatic-influence-on-the-expression-of-strike,2023-01-21
Resetting of zircon inclusions in garnet: Implications for elastic thermobarometry,"Elastic thermobarometry of host-inclusion systems for back-calculating pressure (P) and temperature (T) conditions of inclusion entrapment relies on the assumption that the hostinclusion rheology is purely elastic. In this study, we have explored both the elastic and non-elastic behavior of zircon-in-garnet (ZiG) systems by in situ Raman spectroscopy at high T and ambient P. We show that upon heating, plastic relaxation takes place immediately after the zircon inclusions experience tensile stress conditions with respect to a free crystal at the same T. On subsequent cooling, the inclusions develop a new stress state, and thus the inclusion pressures have been reset from those corresponding to their original entrapment. Resetting of inclusion pressures therefore strongly depends on the exhumation P-T path. This explains why elastic thermobarometry using ZiG systems is reliable when applied to low-P high-T rocks where the cooling path after inclusion entrapment passes quickly into the compression domain of the inclusion. On the other hand, high-P rocks exhumed along quasi-isothermal paths take zircon inclusions into the tensile domain where they are reset until significant cooling commences at low P. ZiG systems in ultrahigh-P rocks therefore commonly indicate pressures on clockwise exhumation paths instead of the conditions of original entrapment.",https://pubs.geoscienceworld.org/gsa/geology/article/51/1/23/618749/Resetting-of-zircon-inclusions-in-garnet,2023-01-21
Rapid megaflood-triggered base-level rise on Mars,"The existence of ancient fluvial systems on Mars is widely accepted, but little is known about how quickly they formed, or what environmental conditions controlled their evolution. We analyzed a sequence of well-preserved inner-bank bar deposits within the meander bends of a multistacked sinuous fluvial ridge in Aeolis Dorsa and compared them to similar features on Earth to establish the conditions required for their formation. Our results reveal that these Martian channels were highly aggradational, rising an order of magnitude higher than terrestrial rivers. This evolution occurred over very rapid time scales, with our estimates suggesting that some entire inner-bar set deposits, and therefore the aggradational channel, may have formed in less than a single Martian year, with upper bounds of a few decades. We suggest that this unique channel topography was created by a rapidly rising downstream water body, triggered by a sequence of externally sourced megafloods (e.g., crater lake breaches).",https://pubs.geoscienceworld.org/gsa/geology/article/51/1/28/618748/Rapid-megaflood-triggered-base-level-rise-on-Mars,2023-01-21
Advanced two- and three-dimensional insights into Earth's oldest stromatolites (ca. 3.5 Ga): Prospects for the search for life on Mars,^^^none^^^,https://pubs.geoscienceworld.org/gsa/geology/article/51/1/33/618747/Advanced-two-and-three-dimensional-insights-into,2023-01-21
Major-element geochemistry of pelites,"Pelites (shales and mudstones) are arguably the most important rock type for interpreting metamorphism. Their significance derives from their widespread occurrence and the range of mineral assemblages they develop at different conditions of pressure and temperature. We compiled a global database of 5729 major-element whole-rock analyses of pelites from different metamorphic grades (shales to granulite-facies paragneisses) to (1) determine an average composition, (2) examine the range and variability in their composition, and (3) assess if there is evidence for grade-related geochemical changes. Median values are given instead of average values to eliminate the effect of extremes. The median worldwide pelite is as follows (anhydrous, values in wt%): SiO2 = 64.13, TiO2 = 0.91, Al2O3 = 19.63, FeOtotal = 6.85, MnO = 0.08, MgO = 2.41, CaO = 0.65, Na2O = 1.38, and K2O = 3.95. The median XMg = MgO/(MgO + FeOtotal) in moles is 0.39. The median XFe3+ = 2 × Fe2O3/(2 × Fe2O3 + FeO) in moles was measured in 1964 samples and is 0.23. On an Al2O3-FeO-MgO (AFM) diagram, the median worldwide pelite plots within a strong clustering of analyses between  = projected molar MgO/(MgO + FeOtotal) = 0.30–0.55 (median = 0.42) and AMs = molar [Al2O3 – (3 × K2O)]/[Al2O3 – (3 × K2O) + FeOtotal + MgO] = 0.0–0.4 (median = 0.19). Pelites show a continuous decrease in volatile content with increasing meta-morphic grade and a decrease in XFe3+ from the diagenetic to biotite zone. Lower median SiO2 values and higher median Al2O3 and AMs values in the porphyroblast and subsolidus sillimanite or K-feldspar zones, as well as higher median MnO values in the garnet zone, may reflect sampling bias or metasomatism.",https://pubs.geoscienceworld.org/gsa/geology/article/51/1/39/618721/Major-element-geochemistry-of-pelites,2023-01-21
Pre-agricultural soil erosion rates in the midwestern United States,^^^none^^^,https://pubs.geoscienceworld.org/gsa/geology/article/51/1/44/619178/Pre-agricultural-soil-erosion-rates-in-the,2023-01-21
"Heavy Mo isotope composition of northern Bataan adakites, Philippines: Evidence for fore-arc subduction erosion?","The identification of an eroded fore-arc crust component in arc magmas is challenging due to the combined effects of mantle metasomatism and crustal assimilation–fractional crystallization. In this study, molybdenum (Mo) isotope compositions are used in conjunction with Sr-Nd-Hf isotopic and elemental data to identify eroded fore-arc crust components in adakites from the Cuyapo and Balungao volcanoes of the northern Bataan segment of the Luzon arc (Philippines). The Mo isotopic ratios (δ98/95Mo, relative to the NIST SRM 3134 standard) of these adakites increase with increasing εNd (+4.3 to +5.6) and Ba/Nb (206–286). The low δ98/95Mo (−0.36‰ to −0.26‰) in the Cuyapo adakites coupled with low Sr-Nd-Hf isotopic ratios suggests contributions from the residual slab, which lost isotopically heavy Mo during dehydration. Interestingly, the high δ98/95Mo (−0.18‰ to 0.00‰) Balungao adakites have Mo-Sr-Nd-Hf isotopic ratios similar to those of the Luzon basement. Fractionated Nb/Ta (16–18) and high Sr/Y indicate the coexistence of melt with residual rutile and garnet ± amphibole assemblages, corresponding to a source region (>~45 km) below the present Luzon crust (~33 km). This thus suggests an origin of heavy Mo from partial melting of eroded crust in the mantle wedge rather than in the upper-plate crust. Our work not only demonstrates that Mo isotopes may be a potential tracer of eroded crust but also highlights that lavas with combined high δ98/95Mo, εNd, and Ba/Nb emplaced at subduction zones with juvenile arc crust may be a result of subduction erosion.",https://pubs.geoscienceworld.org/gsa/geology/article/51/1/49/618722/Heavy-Mo-isotope-composition-of-northern-Bataan,2023-01-21
